"jelentkezesi_hatarido","allas_megnevezese","kozzetevo","tipus","telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"2017-11-30","Szociális és Hatósági Irodavezető","ABAI POLGÁRMESTERI HIVATAL","Köztisztviselő","Aba","HH","Abai","Fejér","Közép-Dunántúl",0
"2017-12-02","főkönyvi könyvelő","ABAI POLGÁRMESTERI HIVATAL","Köztisztviselő","Aba","HH","Abai","Fejér","Közép-Dunántúl",0
"2017-12-06","Intézményvezető","Aba Város Önkormányzata","Közalkalmazott","Aba","HH","Abai","Fejér","Közép-Dunántúl",0
"2017-12-19","jegyző","","Köztisztviselő","Aba","HH","Abai","Fejér","Közép-Dunántúl",0
"2017-12-05","testnevelés-bármely szakos tanár","Bárczay János Mezőgazdasági Szakgimnázium, Szakközépiskola és Kollégium","Közalkalmazott","Abaújszántó","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-12-08","gyógypedagógus","Sárospataki Tankerületi Központ Ilosvai Selymes Péter Általános Iskola és Alapfokú Művészeti Iskola","Közalkalmazott","Abaújszántó","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-12-31","Háziorvos","Háziorvosi és Védőnői Szolgálatot Fenntartó Társulás","Közalkalmazott","Abaújvár","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-12-31","védőnő","Háziorvosi és Védőnői Szolgálatot Fenntartó Társulás","Közalkalmazott","Abaújvár","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-11-27","intézményvezető","Ceglédi Többcélú Kistérségi Társulás Társulási Tanácsa","Közalkalmazott","Abony","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"2017-11-28","pszichológus","Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat","Közalkalmazott","Abony","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"2017-11-28","nevelő 2 fő","Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat","Közalkalmazott","Abony","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"2017-11-28","gyermekfelügyelő","Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat","Közalkalmazott","Abony","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"2017-11-30","általános iskolai tanító","Karcagi Tankerületi Központ","Közalkalmazott","Abádszalók","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"2017-12-09","német-bármely szakos tanár vagy tanító-német műveltségi területtel","Karcagi Tankerületi Központ","Közalkalmazott","Abádszalók","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"2017-12-09","magyar - bármely szakos tanár","Karcagi Tankerületi Központ","Közalkalmazott","Abádszalók","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"2017-12-09","matematika - bármely szakos tanár","Karcagi Tankerületi Központ","Közalkalmazott","Abádszalók","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"2017-12-18","matematika-testnevelés szakos tanár","Váci Tankerületi Központ","Közalkalmazott","Acsa","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"2017-12-18","rajz - bármely szakos tanár","Váci Tankerületi Központ","Közalkalmazott","Acsa","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"2018-01-29","óvodavezető","Acsád Község Önkormányzata","Közalkalmazott","Acsád","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"2017-12-09","óvodapedagógus","Ajka Városi Óvoda","Közalkalmazott","Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"2017-12-18","Matematika szakos középiskolai tanár","Veszprémi Szakképzési Centrum","Közalkalmazott","Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"2017-12-18","Vendéglátóipari szakmai tanár","Veszprémi Szakképzési Centrum","Közalkalmazott","Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"2017-12-29","2 fő logopédus","Veszprémi Tankerületi Központ","Közalkalmazott","Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"2018-02-16","óvodapedagógus","Ajka Városi Óvoda","Közalkalmazott","Ajka","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"2017-12-30","Alapi Óvoda óvodaigazgató","Alap-Alsószentiván-Sáregres Óvodai Intézményi Társulás","Közalkalmazott","Alap","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"2017-11-27","pénzügyi ügyintéző","Községi Önkormányzat Polgármesteri Hivatala - Alattyán","Köztisztviselő","Alattyán","HH","Jászberényi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"2017-12-11","pályázati, környezetvédelmi ügyintéző","Alsónémedi  Polgármesteri Hivatal","Köztisztviselő","Alsónémedi","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",0
"2017-12-28","iskolapszichológus","Monori Tankerületi Központ","Közalkalmazott","Alsónémedi","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",0
"2017-11-27","gyógypedagógus","Miskolci Tankerületi Központ","Közalkalmazott","Alsózsolca","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-12-15","takarító-ebéd osztó","Apátistvánfalvai Kéttannyelvű Általános Iskola és Óvoda","Közalkalmazott","Apátistvánfalva","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"2017-11-24","pszichológus","Kazincbarcikai Tankerületi Központ","Közalkalmazott","Arló","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"2017-12-08","2 fő logopédus","Ceglédi Tankerületi Központ Pest Megyei Pedagógiai Szakszolgálat Aszódi Tagintézménye","Közalkalmazott","Aszód","nem_hatranyos _besorolasu","Aszódi","Pest","Közép-magyarország",0
"2017-12-15","Óvodavezető","Babarc Község Önkormányzata","Közalkalmazott","Babarc","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"2017-11-26","általános iskolai tanár (fizika, biológia, kémia szak)","Balatonfüredi Tankerületi Központ","Közalkalmazott","Badacsonytomaj","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"2017-12-06","Titkársági ügyintéző","Bagaméri Polgármesteri Hivatal","Köztisztviselő","Bagamér","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"2017-11-22","belső ellenőr","Bajai Szakképzési Centrum","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
